UniqID,Lat,Lon,SiteName,LabCode,Age,Error,Material,Reference,LEVEL2,L2Desc,calcurve
100001,24.70381829,-78.03972995,Gilpin Point,Beta-338510,1020,30,faunal material,Steadman et al. 2014,16.1,Bahamas,tropics
100002,24.70381829,-78.03972995,Gilpin Point,Beta-338511,1010,30,faunal material,Steadman et al. 2014,16.1,Bahamas,tropics
100003,24.70381829,-78.03972995,Gilpin Point,Beta-338512,1340,30,faunal material,Steadman et al. 2014,16.1,Bahamas,tropics
100004,24.70381829,-78.03972995,Gilpin Point,Beta-338518,900,30,wood,Steadman et al. 2014,16.1,Bahamas,tropics
100005,24.70381829,-78.03972995,Gilpin Point,Beta-345519,990,30,wood,Steadman et al. 2014,16.1,Bahamas,tropics
100006,24.70381829,-78.03972995,Sawmill Sink,Beta-228852,870,30,human bone/teeth,Steadman et al. 2007,16.1,Bahamas,tropics
100007,24.70381829,-78.03972995,Sanctuary Cave,Beta-268510,520,40,human bone/teeth,Hastings et al. 2014,16.1,Bahamas,tropics
100008,24.70381829,-78.03972995,Stargate Cave,Beta-268511,620,40,human bone/teeth,Hastings et al. 2014,16.1,Bahamas,tropics
100319,22.4878,-73.98915793,1702 Cave,Beta-445995,2510,30,faunal material,Steadman et al. 2017,16.1,Bahamas,tropics
100320,22.4878,-73.98915793,Acklins,OxA-18449,395,25,wood,Ostapkowicz 2015,16.1,Bahamas,tropics
100321,22.4878,-73.98915793,Crossbed Cave,Beta-411055,250,30,faunal material,Steadman et al. 2017,16.1,Bahamas,tropics
100322,22.4878,-73.98915793,Crossbed Cave,Beta-411056,460,30,faunal material,Steadman et al. 2017,16.1,Bahamas,tropics
100323,22.4878,-73.98915793,McKay's Bluff,Beta-411057,280,30,faunal material,Steadman et al. 2017,16.1,Bahamas,tropics
100324,22.4878,-73.98915793,McKay's Bluff,Beta-411058,300,30,faunal material,Steadman et al. 2017,16.1,Bahamas,tropics
100325,22.4878,-73.98915793,McKay's Bluff,Beta-451745,870,30,faunal material,Steadman et al. 2017,16.1,Bahamas,tropics
100326,22.4878,-73.98915793,McKay's Bluff,UGa-1584,690,75,charcoal/charred material,Winter 1978b; Winter 1978:238i239,16.1,Bahamas,tropics
100327,22.4878,-73.98915793,McKay's Bluff,UGa-1583,210,80,faunal material,Winter 1978:238i239,16.1,Bahamas,tropics
100329,22.4878,-73.98915793,McKay's Bluff,Beta-411059,310,30,faunal material,Steadman et al. 2017,16.1,Bahamas,tropics
100330,22.4878,-73.98915793,Pittstown Landing,Beta-445997,860,30,faunal material,Steadman et al. 2017,16.1,Bahamas,tropics
100595,26.3975298,-77.1565,Broad Creek Cay,Beta-302306,820,40,charcoal/charred material,Peter Sinelli-Personal Communication,16.1,Bahamas,tropics
100596,26.3975298,-77.1565,cave,OxA-21155,804,25,wood,Ostapkowicz 2015,16.1,Bahamas,tropics
100597,26.3975298,-77.1565,Broad Creek Cay,Beta-302307,490,40,charcoal/charred material,Peter Sinelli-Personal Communication,16.1,Bahamas,tropics
100598,26.3975298,-77.1565,Greenstone,Beta-334794,1010,30,charcoal/charred material,Peter Sinelli-Personal Communication,16.1,Bahamas,tropics
100599,26.3975298,-77.1565,Greenstone,Beta-356054,730,30,charcoal/charred material,Peter Sinelli-Personal Communication,16.1,Bahamas,tropics
100600,26.3975298,-77.1565,Preacher's Cave,ORAU-X-2623-21,1082,29,human bone/teeth,Schroeder et al. 2018,16.1,Bahamas,tropics
100601,21.47129581,-71.14015585,Coralie Site,Beta-98698,1230,60,charcoal/charred material,Carlson 1999,16.1,Bahamas,tropics
100602,21.47129581,-71.14015585,Coralie Site,Beta-98697,1010,50,charcoal/charred material,Carlson 1999,16.1,Bahamas,tropics
100603,21.47129581,-71.14015585,Coralie Site,Beta-114924,1120,50,charcoal/charred material,Carlson 1999,16.1,Bahamas,tropics
100604,21.47129581,-71.14015585,Coralie Site,Beta-98699,900,50,charcoal/charred material,Carlson 1999,16.1,Bahamas,tropics
100605,21.47129581,-71.14015585,Coralie Site,Beta-80911,1280,60,charcoal/charred material,Carlson 1999,16.1,Bahamas,tropics
100606,21.47129581,-71.14015585,Coralie Site,Beta-80910,1160,60,charcoal/charred material,Carlson 1999,16.1,Bahamas,tropics
100609,21.47129581,-71.14015585,Coralie Site,Beta-96700,940,60,wood,Carlson 1999,16.1,Bahamas,tropics
100610,21.47129581,-71.14015585,Coralie Site,Beta-66151,1120,120,charcoal/charred material,Carlson 1999,16.1,Bahamas,tropics
100612,21.47129581,-71.14015585,Gibbs Cay,Beta-253527,780,40,charcoal/charred material,Sinelli 2010,16.1,Bahamas,tropics
100613,21.47129581,-71.14015585,GT-2,Beta-42983,830,80,charcoal/charred material,Carlson 1999,16.1,Bahamas,tropics
100614,21.47129581,-71.14015585,GT-2,Beta-42985,820,50,charcoal/charred material,Carlson 1999,16.1,Bahamas,tropics
100615,21.47129581,-71.14015585,GT-2,Beta-61150,910,60,charcoal/charred material,Sinelli 2010,16.1,Bahamas,tropics
